A_STUDY,A_WAVE,A_YEAR,B_COUNTRY,B_COUNTRY_ALPHA,S025,W_WEIGHT,S018,H_URBRURAL,H_SETTLEMENT,G_TOWNSIZE,G_TOWNSIZE2,I_PSU,E_RESPINT,E1_LITERACY,F_INTPRIVACY,Q260,Q261,Q262,X003R,X003R2,Q263,Q264,Q265,Q269,Q270,Q271,Q273,Q274,Q275,Q275R,Q279,Q281,Q284,Q285,Q286,Q287P,Q288,Q288R,Q289,Q290,Q240,Q241,Q199P,Q209P,Q216P,Q57P,Q58P,Q59P,Q60P,Q61P,Q62P,Q63P,Q64P,Q65P,Q66P,Q67P,Q68P,Q69P,Q70P,Q71P,Q72P,Q73P,Q74P,Q75P,Q76P,Q77P,Q78P,Q79P,Q80P,Q81P,Q82P,Q83P,Q84P,Q85P,Q86P,Q87P,Q88P,Q89P,Q292A,Q292B,Q292C,Q292D,Q292E,Q292F,Q292G,Q292H,Q292I,Q292K,Q292O,Q292A_REVERSE_FLAG,Q292B_REVERSE_FLAG,Q292I_REVERSE_FLAG
2,7,2019,196,CYP,1962019,1.479793227,1.0,1,4,6,3,6102,1,,1,1,1958,61,5,3,1,1,1,1,2,1,1,2,1,1,1,6,1,1,2,3,5,2,3,196001,,10,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,1,1,1
2,7,2019,196,CYP,1962019,1.479793227,1.0,1,4,6,3,6102,2,,2,2,1958,61,5,3,1,1,1,1,4,1,1,2,1,1,1,8,2,2,2,2,5,2,3,196001,,10,2,1,1,1,4,2,3,2,2,2,4,4,4,4,,3,3,3,2,2,3,3,,3,2,,,,,,,,,,,,,,,,,,,,,,,1,1,1
2,7,2019,196,CYP,1962019,1.479793227,1.0,1,4,6,3,6102,1,,2,2,1977,42,3,2,2,2,2,1,6,1,1,4,4,2,5,0,,2,2,3,3,1,3,196001,,10,2,,1,1,4,3,3,2,2,2,4,3,3,3,,3,3,3,,3,3,3,,3,3,,,,3,,,,,,,,,,,,,,,,,,,1,1,1
2,7,2019,196,CYP,1962019,1.479793227,1.0,1,4,6,3,6102,1,,2,2,1955,64,5,3,1,1,1,1,2,1,1,2,3,2,1,8,2,2,2,3,5,2,3,196001,5,10,2,1,1,1,4,3,3,2,3,3,3,3,3,3,,,,,1,,,3,,,2,,,,2,,,,,,,,,,,,,,,,,,,1,1,1
2,7,2019,196,CYP,1962019,1.479793227,1.0,1,4,6,3,6104,2,,2,2,1967,52,4,3,2,2,2,1,8,1,5,3,3,2,1,8,2,2,2,1,3,1,3,196001,,10,1,1,1,1,4,2,3,1,2,2,3,,,3,3,3,,,,,3,3,,3,3,,,,3,,,,,,,,,,,,,,,,,,,1,1,1
2,7,2019,196,CYP,1962019,1.479793227,1.0,1,4,6,3,6104,2,,1,1,1980,39,3,2,2,2,2,1,1,1,3,2,3,2,1,7,2,1,2,1,5,2,3,196001,,10,1,1,1,1,3,2,3,2,3,2,,3,3,3,3,3,,,1,,3,3,,3,2,,,,1,1,,,1,,,,,,,,,,,,,,,1,1,1
2,7,2019,196,CYP,1962019,1.479793227,1.0,1,4,6,3,6104,1,,1,1,1958,61,5,3,1,1,1,1,2,1,1,2,2,1,1,9,2,1,2,1,3,1,3,196001,,10,1,2,1,1,3,3,3,2,1,1,3,3,1,1,1,3,3,2,1,1,1,3,,1,1,1,1,1,1,1,3,2,1,1,3,,,,,,,,,,,,,1,1,1
2,7,2019,196,CYP,1962019,1.479793227,1.0,1,4,6,3,6104,2,,1,2,1994,25,2,1,1,1,1,1,3,1,1,1,3,2,7,5,2,2,2,1,5,2,3,196001,,10,1,1,1,1,4,3,3,1,2,2,3,3,3,3,1,3,2,2,1,1,2,3,1,2,1,3,,,1,1,,,1,,,,,,,,,,,,,,,1,1,1
2,7,2019,196,CYP,1962019,1.479793227,1.0,1,4,6,3,6104,2,,1,1,1983,36,3,2,1,1,1,1,2,1,2,2,1,1,1,8,1,1,2,,7,2,3,196001,,10,1,1,1,1,4,3,3,2,2,2,3,3,3,4,3,3,3,3,1,,3,3,1,3,3,,,,2,,,,,,,,,,,,,,,,,,,1,1,1
2,7,2019,196,CYP,1962019,1.479793227,1.0,1,4,6,3,6101,3,,1,2,1942,77,6,3,1,1,1,1,3,1,1,3,0,1,5,0,,2,2,2,3,1,3,196001,,10,1,1,1,1,4,3,3,1,2,1,4,3,1,3,,2,2,,1,,2,4,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1
2,7,2019,196,CYP,1962019,1.479793227,1.0,1,1,7,4,2113,1,,1,1,1994,25,2,1,1,1,1,1,4,2,6,0,3,2,1,8,2,2,3,2,4,2,3,196001,,5,1,1,1,1,3,2,3,2,2,2,2,1,2,2,1,1,2,1,1,1,2,3,2,1,1,2,2,2,1,1,,,,,,,,,,,,,,,,,,1,1,1
