B_COUNTRY,N_weighted,N_respondents,Q64P,Q65P,Q66P,Q67P,Q68P,Q69P,Q70P,Q71P,Q72P,Q73P,Q74P,Q75P,Q76P,Q77P,Q78P,Q79P,Q80P,Q81P,Q82P,Q83P,Q84P,Q85P,Q86P,Q87P,Q88P,Q89P,Q292A,Q292B,Q292C,Q292D,Q292E,Q292F,Q292G,Q292H,Q292I,Q292K,Q292O,Q57P,Q58P,Q59P,Q60P,Q61P,Q62P,Q63P
20,1004.0,1004,2.002002002002002,,2.245,2.207792207792208,1.8827726809378185,2.883,2.577194752774975,2.4417670682730925,1.9574036511156188,2.236012207527976,2.5065065065065064,2.9106957424714435,2.430327868852459,2.3997985901309162,2.056,2.7203219315895373,2.768679631525077,2.6720160481444335,2.415492957746479,2.412298387096774,2.0368852459016393,2.3787409700722395,2.162551440329218,2.0133196721311477,2.751765893037336,2.286591606960082,,,,,,,,,,,,1.2557442557442557,3.8157370517928286,2.7208374875373877,3.2662013958125624,2.058058058058058,2.525783619817998,2.590909090909091
32,1002.999999911,1003,2.665381605179978,2.210061820078324,2.108165973798011,2.138115344722234,1.7885388810481788,2.091738601464451,1.8425402747977002,2.031788111169807,1.6992469976286377,1.8790731252702102,1.8600260095277967,2.9103567182263395,2.134564524637954,2.126824269092858,2.0940946890146046,2.611758652969298,2.393618214241679,2.804476043205933,2.107779010230837,2.007181051103139,1.6919811162413754,1.8265833616514005,1.9903391387296268,1.677560185000452,2.6123981473492304,1.5008844629889633,,,,,,,,,,,,1.2010431065205074,3.847613131422372,3.003409366855876,3.022379969753078,2.1316689764398533,2.6424375792383215,2.570951539553249
36,1813.000000039,1813,2.1029317991467806,3.0989079841191085,1.9392222673751796,1.9905993748208468,2.102867590723819,3.0626059916619726,2.6505034847779676,2.1567952602858713,1.8497527627452044,2.142061086738463,2.468692499555662,2.8287763331841043,2.6433783502966675,2.266688118939801,2.1910898778232077,2.595489770766554,2.7325731102446005,2.5951472700958753,,2.547265890828898,2.3076317244173628,2.51551014905634,2.441236403159586,2.2956499846187226,2.8221887265850794,2.4001706608313698,,,,,,,,,,,,1.4893654332939552,3.7351770429343345,2.8462507250575886,3.3423714256511894,2.3769190553816415,2.7519121711186267,2.7888899178669178
50,1200.0,1200,3.9275,3.3389121338912133,2.8926174496644297,3.001676445934619,2.7113043478260868,2.4308466051969826,3.010126582278481,3.109519797809604,2.361774744027304,3.0077186963979416,2.884304932735426,3.358540925266904,2.7037037037037037,2.7902790279027903,2.9905741216795203,2.7428307123034226,2.860146252285192,2.7249757045675413,2.8162100456621006,3.013727560718057,2.7916666666666665,2.819059107358263,2.552891396332863,3.123867069486405,2.9474285714285715,2.730120481927711,,,,,,,,,,,,1.1292743953294413,3.9841534612176814,3.199332777314429,2.818718381112985,1.8770903010033444,2.1041490262489417,1.8221447253705318
51,1223.00000089,1223,3.073527184013285,3.043222604794537,1.5970099307270413,1.7470085145676668,1.6619159634099374,2.3059814371947827,1.9217332398914224,2.080851588735854,1.5577897478664078,1.740953121968588,2.245422162780434,2.6889664558833517,1.954285704632724,2.24055553148665,2.402262481013953,2.305045517548903,2.314795357475496,2.502553192531128,2.048395120964218,2.0512408504285013,2.112156258197526,2.225335175886929,1.9182240479974895,2.365434207758934,2.360778101271552,2.2422051687636815,,,,,,,,,,,,1.085125855294617,3.9229223002864892,2.7951041336666043,2.9956107168418726,1.852305835636124,1.8349288977093214,2.0661965067846575
68,2067.0,2067,2.627431906614786,2.1378284581060982,2.1502718734552646,2.1829745596868886,1.8901044256588762,1.8350315380883067,1.820010055304173,2.0564833005893908,1.600685938265556,1.7158859470468433,1.8098522167487685,2.6248751248751248,2.1164953499755264,2.191339375629406,2.542014742014742,2.521025641025641,2.485392106611994,2.44258872651357,2.011921458625526,2.005780346820809,1.9579158316633267,2.08300395256917,1.823008849557522,2.1364795918367347,2.5545505935556814,2.1625,,,,,,,,,,,,1.0859794821690278,3.35188770571152,2.1473582161900144,2.4657267865824015,1.5007270964614638,2.0309278350515463,1.6815286624203822
76,1761.999999976,1762,2.749133252706191,2.702766036469254,2.1066733014005465,2.0356180696410804,2.0466207163601826,2.450853705347033,2.4047579803799617,1.7132247513251397,1.4696646805343898,1.5486388920077254,2.3533230205386952,2.9656535719215475,1.8014141719561387,2.4430829309529165,2.393456716739197,2.654706699081716,2.7386104340837303,2.7494081779940145,2.1948323482293675,2.350433285086013,2.0121636106187983,2.188363251279073,2.124357109919855,2.1415754413861814,2.4741126724037086,2.3124086236405033,,,,,,,,,,,,1.0664794357829537,3.454967054252452,2.4588200177864215,2.618607042139133,1.7987639478287243,2.469531614351603,2.0945690452242594
104,1200.0,1200,3.2816666666666667,2.026666666666667,2.5725,3.078333333333333,2.8541666666666665,2.5791666666666666,2.5808333333333335,3.1016666666666666,2.754166666666667,2.921666666666667,2.9408333333333334,3.1225,2.985,2.754166666666667,3.1791666666666667,3.0658333333333334,3.2641666666666667,3.5033333333333334,3.0175,3.0516666666666667,2.763333333333333,2.7158333333333333,2.4358333333333335,3.205,3.4541666666666666,2.9675,3.1933333333333334,3.545,3.3333333333333335,3.63,2.8583333333333334,3.2158333333333333,3.0841666666666665,3.1425,2.5533333333333332,3.2158333333333333,3.8541666666666665,1.1508333333333334,3.7408333333333332,2.8408333333333333,2.924166666666667,2.2708333333333335,1.8883333333333334,1.8675
124,4018.000206777,4018,2.2658992293728604,2.893403316460364,2.316600208841304,2.2594034305650412,2.332475769425997,2.791763447028006,2.59317046189273,2.3764550351515075,2.0566150410456223,2.365572532194875,2.55546289140942,2.8173376751434462,2.550356581786191,2.2898976992809414,2.505109006100068,2.613184823419234,2.7277968084784363,2.633033776016718,2.2563623549821203,2.563075522120441,2.355251020849492,2.4883211108229033,2.573077473271219,2.391804061812825,2.691903930781031,2.420824873757614,,,,,,,,,,,,1.4669301405832718,3.565686309100319,2.932557228992935,3.368979214695516,2.42578399351236,2.8778635929109004,2.9193831007498052
152,999.5343632280001,1000,2.355838943944859,2.4336414322866964,2.359089454891595,2.5692894818394527,2.398587690988356,2.4144218879954713,2.1119498139903707,2.1676403712705707,1.7129323389283175,1.8780388951127935,2.163820181599496,2.8393881564739307,2.5227574412646083,2.2387585432815804,2.318220507381099,2.634114748341815,2.6784198217716333,2.694705305095568,2.4490411452238474,2.412409052825039,2.3052837569609825,2.446878141401207,2.282016589240679,2.1990962500144797,2.4255312786750935,2.258528314579044,,,,,,,,,,,,1.1318578895943692,3.59854973304775,2.7524907001283663,2.608121101455154,2.011271281338609,2.291782868048724,2.2688706794758224
