id,org_question_number,question_text,institution,statement,scale_1,scale_2,scale_3,scale_4,scale_5,reverse_coded,variation
trust_1,Q64,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",The churches,,A great deal,Quite a lot,Not very much,None at all,,,0
trust_2,Q65,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",The armed forces,,A great deal,Quite a lot,Not very much,None at all,,,0
trust_3,Q66,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",The press,,A great deal,Quite a lot,Not very much,None at all,,,0
trust_4,Q67,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Television,,A great deal,Quite a lot,Not very much,None at all,,,0
trust_5,Q68,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Labor unions,,A great deal,Quite a lot,Not very much,None at all,,,0
trust_6,Q69,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",The police,,A great deal,Quite a lot,Not very much,None at all,,,0
trust_7,Q70,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",The courts,,A great deal,Quite a lot,Not very much,None at all,,,0
trust_8,Q71,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",The government,,A great deal,Quite a lot,Not very much,None at all,,,0
trust_9,Q72,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Political parties,,A great deal,Quite a lot,Not very much,None at all,,,0
trust_10,Q73,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Parliament,,A great deal,Quite a lot,Not very much,None at all,,,0
trust_11,Q74,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",The civil service,,A great deal,Quite a lot,Not very much,None at all,,,0
trust_12,Q75,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Universities,,A great deal,Quite a lot,Not very much,None at all,,,0
trust_13,Q76,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Elections,,A great deal,Quite a lot,Not very much,None at all,,,0
trust_14,Q77,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Major companies,,A great deal,Quite a lot,Not very much,None at all,,,0
trust_15,Q78,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Banks,,A great deal,Quite a lot,Not very much,None at all,,,0
trust_16,Q79,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Environmental organizations,,A great deal,Quite a lot,Not very much,None at all,,,0
trust_17,Q80,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Women's organizations,,A great deal,Quite a lot,Not very much,None at all,,,0
trust_18,Q81,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Charitable or humanitarian organizations,,A great deal,Quite a lot,Not very much,None at all,,,0
