id,org_question_number,question_text,institution,statement,scale_1,scale_2,scale_3,scale_4,scale_5,reverse_coded,section
trust_1,Q64,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",The churches,,A great deal,Quite a lot,Not very much,None at all,,0,wvs_confidence
trust_2,Q65,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",The armed forces,,A great deal,Quite a lot,Not very much,None at all,,0,wvs_confidence
trust_3,Q66,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",The press,,A great deal,Quite a lot,Not very much,None at all,,0,wvs_confidence
trust_4,Q67,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Television,,A great deal,Quite a lot,Not very much,None at all,,0,wvs_confidence
trust_5,Q68,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Labor unions,,A great deal,Quite a lot,Not very much,None at all,,0,wvs_confidence
trust_6,Q69,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",The police,,A great deal,Quite a lot,Not very much,None at all,,0,wvs_confidence
trust_7,Q70,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",The courts,,A great deal,Quite a lot,Not very much,None at all,,0,wvs_confidence
trust_8,Q71,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",The government,,A great deal,Quite a lot,Not very much,None at all,,0,wvs_confidence
trust_9,Q72,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Political parties,,A great deal,Quite a lot,Not very much,None at all,,0,wvs_confidence
trust_10,Q73,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Parliament,,A great deal,Quite a lot,Not very much,None at all,,0,wvs_confidence
trust_11,Q74,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",The civil service,,A great deal,Quite a lot,Not very much,None at all,,0,wvs_confidence
